Date,Shift,Total,Accounts,Max balance,Richest,Top 5% wealth,Top 5% ownership,Top 5% accounts,Top 10% wealth,Top 10% ownership,Top 10% accounts,Top 25% wealth,Top 25% ownership,Top 25% accounts,Top 50% wealth,Top 50% ownership,Top 50% accounts
2020-11-29-00_52_42,0,4528692,340,194342,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,2030853,0.44844140427302187,17,3055552,0.6747096071006816,34,4345800,0.9596148291824659,85,4473095,0.9877233867968941,170
2020-11-29-21_47_27,0,5595214,347,213942,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,2355314,0.42095154894879805,17,3734836,0.6675054787895512,35,5409271,0.9667674909306418,87,5541068,0.9903228008794659,174
2020-11-29-00_43_47,0,4528692,340,194342,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,2030853,0.44844140427302187,17,3055552,0.6747096071006816,34,4345800,0.9596148291824659,85,4473095,0.9877233867968941,170
2020-12-03-09_28_29,0,5649512,359,213942,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,2445758,0.4329149137129012,18,3820947,0.6763322212608806,36,5463749,0.9671187529117559,90,5595214,0.990388904386786,180
2020-12-04-09_35_11,0,5655024,362,213942,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,2446746,0.4326676597659002,18,3821935,0.6758477063934654,36,5473212,0.9678494733178852,91,5601677,0.990566441451,181
2020-12-06-16_08_57,0,6801458,366,233542,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,2819146,0.41449142228034047,18,4578028,0.6730950922581599,37,6608398,0.97161490962673,92,6745871,0.9918271935223301,183
2020-12-02-10_07_51,0,5647002,356,213942,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,2445774,0.43311017067109236,18,3820963,0.6766356732297952,36,5459767,0.9668434684457345,89,5593232,0.9904781333528835,178
2020-12-02-14_47_37,0,5649512,357,213942,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,2445774,0.4329177458159218,18,3820963,0.6763350533639012,36,5459767,0.9664139132725093,89,5595232,0.9903920905026842,179
2020-11-03-12_56_57,0,1268912,141,103600,55dc916737cc6e7fe2aad88af1a55e8517b3f86d2e5da0a95ced1b3a822cb6e7,646895,0.5098028862521593,7,920465,0.7253970330487851,14,1182242,0.9316973911508442,35,1234331,0.9727475191345026,71
2020-11-07-14_32_58,0,1516462,190,123908,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,906041,0.597470295991591,10,1175562,0.7752004336409353,19,1436073,0.9469891101788241,48,1483073,0.977982303546017,95
2020-11-07-20_59_44,0,1516564,192,123908,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,905949,0.5973694483055116,10,1175470,0.7750876323056594,19,1435981,0.9468647548009843,48,1483981,0.9785152489443242,96
2020-11-08-20_39_35,0,2009278,205,143508,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,1062463,0.5287784965544837,10,1508666,0.7508498077418854,21,1918382,0.9547618597327,51,1974569,0.9827256357756369,103
2020-11-08-22_12_45,0,2068084,208,143508,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,1062463,0.5137426719611002,10,1513839,0.7320007311115022,21,1974675,0.954833072544442,52,2032362,0.9827270072202097,104
2020-11-08-21_09_32,0,2048482,206,143508,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,1062463,0.5186586945845754,10,1513844,0.7390077140048095,21,1957580,0.9556247016083129,52,2012767,0.9825651384781512,103
2020-11-08-20_45_07,0,2028880,206,143508,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,1062463,0.5236697093963172,10,1508666,0.7435954812507394,21,1937982,0.9551979417215409,52,1993169,0.9823986633019203,103
2020-11-08-22_38_18,0,2087686,209,143508,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,1062463,0.5089189657831685,10,1513839,0.7251277251464061,21,1991775,0.9540587042304255,52,2051962,0.9828882312761593,105
2020-11-09-09_37_48,0,2094706,219,143508,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,1127464,0.5382445078211453,11,1542331,0.7362995093344842,22,1999260,0.9544346557464389,55,2058447,0.9826901722723858,110
2020-11-09-17_23_37,0,2133912,223,143508,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,1127464,0.5283554335886391,11,1542331,0.7227716044522923,22,2035851,0.9540463711718197,56,2097538,0.9829543111431024,112
2020-11-04-12_16_07,0,1352868,143,118908,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,684895,0.5062541208750595,7,976965,0.7221436237681725,14,1268571,0.9376901515890685,36,1319160,0.9750840436761015,72
2020-11-06-19_56_55,0,1501906,168,123908,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,776095,0.5167400622941782,8,1129562,0.7520856831253088,17,1423386,0.9477197640864342,42,1470073,0.9788049318665749,84
2020-11-06-11_57_01,0,1501904,168,123908,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,776095,0.5167407504074828,8,1129562,0.75208668463497,17,1422962,0.947438717787555,42,1469151,0.9781923478464669,84
2020-11-11-08_52_51,0,2203484,257,143456,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,1220090,0.5537094891544482,13,1661044,0.7538262133966028,26,2101576,0.9537514227468863,64,2168761,0.984241773482358,129
2020-11-12-10_11_43,0,2222520,272,143456,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,1261690,0.5676844302863416,14,1687044,0.7590680848766266,27,2116064,0.9521012184367295,68,2184261,0.982785756708601,136
2020-11-18-10_18_10,0,3145563,325,163066,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,1613759,0.513027079731037,16,2334286,0.7420884592042823,33,3021537,0.9605711282845074,81,3106021,0.9874292773662458,163
2020-11-03-20_36_43,0,1326448,141,118408,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,684395,0.5159606709045511,7,957965,0.7222032073628216,14,1237242,0.9327482117655573,35,1291831,0.9739024824192128,71
